id,name
p_n,N (% TS)
p_c,C (% TS)
p_p,P (% TS)
p_k,K (% TS)
p_ca,Ca (% TS)
p_mg,Mg (% TS)
p_na,Na (% TS)
p_s,S (% TS)
p_b,B (ppm)
p_mn,Mn (ppm)
p_cu,Cu (ppm)
p_zn,Zn (ppm)
p_fe,Fe (ppm)
p_mo,Mo (ppm)
p_al,Al (ppm)
p_co,Co (ppm)
p_c_n,C/N-Verhältnis
p_ts,TS (%)
b_p,P (mg/100 g)
b_k,K (mg/100 g)
b_mg,Mg (mg/100 g)
b_ca,Ca (mg/100 g)
b_b,B (mg/kg)
b_mn,Mn (mg/kg)
b_cu,Cu (mg/kg)
b_zn,Zn (mg/kg)
b_fe,Fe (mg/kg)
b_c_n,C/N
b_c,C (% TS)2
b_n,N(% TS)
b_humus,Humus (%TS)
